name,description,neighborhood_overview,host_since,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighborhood,neighborhood_group,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1140,768,2,3,610,3,1,20,99,2.0,2.0,2,0,0,22.283520000000003,114.15018,5,0,3,1.0,1.0,2.0,28,1185.0,3,365,0,15,45,75,165,134,1,0,97.0,10.0,9.0,10.0,10.0,10.0,9.0,1,1,0,0,1.13
4570,1938,0,6,571,3,53,1,99,12.0,12.0,2,0,0,22.28398,114.14838999999999,5,0,3,1.0,,2.0,6,403.0,14,365,0,0,2,2,2,229,1,0,89.0,8.0,9.0,9.0,9.0,10.0,9.0,13,9,4,0,1.95
1520,1935,0,6,571,3,53,1,99,12.0,12.0,2,0,0,22.28407,114.1557,5,0,6,1.0,2.0,3.0,9,690.0,2,365,0,13,43,73,348,272,7,0,89.0,9.0,9.0,10.0,10.0,10.0,9.0,13,9,4,0,2.39
2362,507,0,13,876,0,0,67,65,0.0,0.0,2,0,0,22.282220000000002,114.14833999999999,5,0,2,1.5,1.0,1.0,5,2574.0,1,365,0,30,60,90,365,14,0,0,93.0,9.0,10.0,10.0,10.0,10.0,9.0,1,1,0,0,0.12
2420,2413,2,6,571,3,53,1,99,12.0,12.0,2,0,0,22.28868,114.14493999999999,5,0,6,1.0,2.0,3.0,10,772.0,2,365,0,0,0,0,0,210,38,2,93.0,10.0,10.0,10.0,10.0,10.0,10.0,13,9,4,0,3.14
4582,1407,0,6,571,3,53,1,99,12.0,12.0,2,0,0,22.28651,114.14873999999999,5,0,6,1.0,2.0,3.0,15,690.0,2,365,0,30,60,90,365,223,6,0,86.0,9.0,9.0,10.0,9.0,10.0,9.0,13,9,4,0,2.0
4581,1406,0,6,571,3,53,1,99,12.0,12.0,2,0,0,22.286939999999998,114.14855,5,0,6,1.0,2.0,3.0,15,612.0,2,365,0,25,55,85,360,231,11,0,86.0,9.0,10.0,10.0,10.0,10.0,9.0,13,9,4,0,2.06
2057,2780,0,24,754,2,1,67,66,1.0,1.0,2,16,16,22.309829999999998,114.16911,23,2,2,1.0,1.0,1.0,11,700.0,1,365,0,30,60,90,365,17,0,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,1,0,0.16
1265,2503,0,29,276,4,1,24,99,1.0,1.0,2,0,0,22.28291,114.15137,5,0,2,1.0,1.0,1.0,23,745.0,1,60,0,0,0,0,171,163,6,0,98.0,10.0,10.0,10.0,10.0,9.0,10.0,1,1,0,0,1.49
815,485,0,36,328,4,1,61,129,1.0,1.0,0,14,14,22.27928,114.17124,5,0,4,1.0,2.0,3.0,20,1008.0,7,1125,0,30,60,90,282,241,4,0,95.0,10.0,9.0,10.0,10.0,10.0,9.0,1,1,0,0,2.23
